nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;secteur;catégorie;type
Toulouse Métropole;2,43E+13;;;GROUP DEPART ACCIDENTES TRAVAIL ET HANDI;7,77E+13;Subvention de Fonctionnement;1769.0;aide en numéraire;unique;08/12/2023;;non;Santé;Organisation de prévention et d’accompagnement;Association loi 1901
Toulouse Métropole;2,43E+13;;;GROUP DEPART ACCIDENTES TRAVAIL ET HANDI;7,77E+13;Subvention d'équipement;1512.0;aide en numéraire;unique;07/12/2023;;non;Santé;Organisation de prévention et d’accompagnement;Association loi 1901
Toulouse Métropole;2,43E+13;;;HELPGESCO;9,03E+13;Subvention d'équipement;300.0;aide en numéraire;unique;24/05/2023;;non;Action sociale;Service d’aide et de soutien;Association loi 1901
Toulouse Métropole;2,43E+13;;;HEXECO;9,04E+13;Subvention de Fonctionnement;15000.0;aide en numéraire;échelonné;14/12/2023;;non;Environnement;Clubs de sports;Association loi 1901
Toulouse Métropole;2,43E+13;;;HOLDING SIVADE;4,93E+13;Subvention d'équipement;366.67;aide en numéraire;unique;19/04/2023;;non;Immobilier;Holding d'entreprises;Société à Responsabilité Limitée (SARL)
Toulouse Métropole;2,43E+13;;;HYPERSUPERS - TDAH FRANCE;4,49E+13;Subvention de Fonctionnement;1100.0;aide en numéraire;unique;15/12/2023;;non;Santé;Structure de soutien dans le domaine de la santé mentale;Association loi 1901
Toulouse Métropole;2,43E+13;;;ICF ATLANTIQUE SA D'HLM;7,76E+13;Subvention d'équipement;490025.0;aide en numéraire;échelonné;15/12/2023;;non;Immobilier;Gestion et promotion du logement HLM;SA conseil d'administration
Toulouse Métropole;2,43E+13;;;ITER;3,14E+13;Subvention d'équipement;2000.0;aide en numéraire;unique;08/12/2023;;non;Énergie;Projet de recherche international;Organisme de recherche
Toulouse Métropole;2,43E+13;;;JBVI;7,54E+13;Subvention d'équipement;300.0;aide en numéraire;unique;22/11/2023;;non;Immobilier;Activités des marchands de biens immobiliers;Société à Responsabilité Limitée (SARL)
Toulouse Métropole;2,43E+13;;;JULLIEN;8,04E+13;Subvention d'équipement;300.0;aide en numéraire;unique;29/09/2023;;non;Immobilier;Location de logements;Indivision entre personnes physiques
Toulouse Métropole;2,43E+13;;;LA  MELEE NUMERIQUE;4,44E+13;Subvention de Fonctionnement;126000.0;aide en numéraire;échelonné;04/12/2023;;non;Numérique;Coworking et événements tech;Association loi 1901
Toulouse Métropole;2,43E+13;;;LA VOIE LACTEE;4,84E+13;Subvention d'équipement;22000.0;aide en numéraire;échelonné;30/08/2023;;non;Culture;Collectif artistique;Association loi 1901
Toulouse Métropole;2,43E+13;;;LE DIAG;7,51E+13;Subvention d'équipement;300.0;aide en numéraire;unique;20/07/2023;;non;immobilier;Analyses, essais et inspections techniques;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;LE GROS INDIEN SAS;7,94E+13;Subvention d'équipement;12000.0;aide en numéraire;unique;19/04/2023;;non;cinéma;Production audiovisuelle;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;LE ROLL;9,12E+13;Subvention d'équipement;499.66;aide en numéraire;unique;12/12/2023;;non;Restauration;Restauration de type rapide;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;LES AILES ANCIENNES TOULOUSE;5,00E+13;Subvention de Fonctionnement;37800.0;aide en numéraire;échelonné;28/11/2023;;non;Culture;Aviation;Association loi 1901
Toulouse Métropole;2,43E+13;;;LES FILMS JACK FEBUS SARL;3,89E+13;Subvention d'équipement;7500.0;aide en numéraire;unique;10/03/2023;;non;cinéma;Production audiovisuelle;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;LES MUNITIONNETTES;9,08E+13;Subvention de Fonctionnement;9000.0;aide en numéraire;unique;14/12/2023;;non;Restauration;Restauration traditionnelle;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;LES PARENTS ET AMIS DES ENFANTS DE BOUSQUAIROL;4,54E+13;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;07/12/2023;;non;Jeunesse;Autres activités récréatives et de loisirs;Association loi 1901
Toulouse Métropole;2,43E+13;;;LES PREMIERES OCCITANIE;8,28E+13;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;22/11/2023;;non;Entrepreneuriat;Accompagnement des femmes entrepreneures;Association loi 1901
Toulouse Métropole;2,43E+13;;;L USINE;4,00E+13;Subvention de Fonctionnement;220000.0;aide en numéraire;échelonné;04/07/2023;;non;Culture;Tiers-lieu culturel;Association loi 1901
Toulouse Métropole;2,43E+13;;;MALLE D AVENTURE;8,51E+13;Subvention d'équipement;933.0;aide en numéraire;unique;16/05/2023;;non;Conseil;Conseil en relations publiques et communication;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;MAT EQUIP 31;4,88E+13;Subvention d'équipement;4000.0;aide en numéraire;unique;20/04/2023;;non;Bâtiment et Travaux Publics (BTP);Location et location-bail de machines et équipements pour la construction;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;MAZOIN;9,00E+13;Subvention d'équipement;1350.0;aide en numéraire;unique;29/06/2023;;non;bâtiment et Travaux Publics (BTP);Activités d'architecture et d'ingénierie ;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;MICHAEL BITARD;8,01E+13;Subvention d'équipement;2966.33;aide en numéraire;échelonné;20/06/2023;;non;numérique;Conseil en systèmes et logiciels informatiques;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;MIDI-PYRENEES ACTIVE;4,80E+13;Subvention de Fonctionnement;247000.0;aide en numéraire;échelonné;11/12/2023;;non;Conseil;Développement économique;Association loi 1901
Toulouse Métropole;2,43E+13;;;MIGRATEURS GARONNE DORDOGNE ASSOC MIGADO;3,92E+13;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;12/07/2023;;non;Environnement;Protection des poissons migrateurs;Association loi 1901
Toulouse Métropole;2,43E+13;;;MOFA;8,83E+13;Subvention d'équipement;699.66;aide en numéraire;unique;29/08/2023;;non;Conseil;Conseil pour les affaires et autres conseils de gestion;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;MORER;9,53E+13;Subvention d'équipement;300.0;aide en numéraire;unique;29/08/2023;;non;Juridique;Activités juridiques;Société d'exercice libéral à responsabilité limitée (SELARL)
Toulouse Métropole;2,43E+13;;;MOYNE;5,07E+13;Subvention d'équipement;1350.0;aide en numéraire;unique;08/08/2023;;non;transport;Transports de voyageurs par taxis;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;OLJAAS;9,18E+13;Subvention d'équipement;1000.0;aide en numéraire;unique;22/06/2023;;non;Sport;Enseignement de disciplines sportives et d’activités de loisirs;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;ORDIS'COURS;4,92E+13;Subvention d'équipement;2000.0;aide en numéraire;unique;04/08/2023;;non;numérique;Service de formation ou support numérique;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;PAR HAZ'ART;4,41E+13;Subvention d'équipement;3085.0;aide en numéraire;unique;15/12/2023;;non;Culture;Arts de la rue;Association loi 1901
Toulouse Métropole;2,43E+13;;;PREVENTION ROUTIERE ASSOC;7,76E+13;Subvention de Fonctionnement;1800.0;aide en numéraire;unique;23/11/2023;;non;Sécurité;Prévention routière;Association loi 1901
Toulouse Métropole;2,43E+13;;;REBONDS;4,78E+13;Subvention de Fonctionnement;23000.0;aide en numéraire;échelonné;12/06/2023;;non;Sport;Loisirs pour enfants;Association loi 1901
Toulouse Métropole;2,43E+13;;;RESEAU ENTREPRENDRE OCCITANIE GARONNE;4,49E+13;Subvention de Fonctionnement;14000.0;aide en numéraire;unique;16/11/2023;;non;Entrepreneuriat;Accompagnement des entrepreneurs;Association loi 1901
Toulouse Métropole;2,43E+13;;;SALUTERRE SARL;4,81E+13;Subvention de Fonctionnement;3470.0;aide en numéraire;unique;12/09/2023;;non;Recherche;Bureau d'études environnementales;Société Coopérative à Responsabilité Limitée (SARL)
Toulouse Métropole;2,43E+13;;;SAMBA RESILLE;4,03E+13;Subvention de Fonctionnement;12000.0;aide en numéraire;unique;15/12/2023;;non;Culture;musicale et culturelle;Association loi 1901
Toulouse Métropole;2,43E+13;;;SAS AL IMMO;8,42E+13;Subvention d'équipement;300.0;aide en numéraire;unique;21/11/2023;;non;Immobilier;Agence immobilière;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;SB CONSEIL;5,11E+13;Subvention d'équipement;300.0;aide en numéraire;unique;23/08/2023;;non;Conseil;Cabinet de conseil;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;SBM1;8,29E+13;Subvention d'équipement;300.0;aide en numéraire;unique;24/05/2023;;non;Immobilier;Hébergement touristique et autre hébergement de courte durée;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;SELARL OCCITANE DENTAIRE;5,02E+13;Subvention d'équipement;433.0;aide en numéraire;unique;22/08/2023;;non;Santé;Cabinet dentaire;Société d'exercice libéral à responsabilité limitée (SELARL)
Toulouse Métropole;2,43E+13;;;SICARD;8,21E+13;Subvention d'équipement;2000.0;aide en numéraire;unique;11/07/2023;;non;Éducation;Coiffure;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;SNCF RESEAU;4,12E+13;Subvention d'équipement;2974821.14;aide en numéraire;échelonné;21/11/2023;;non;Transport;Transport ferroviaire;Société Anonyme (SA)
Toulouse Métropole;2,43E+13;;;SOC HLM LA CITE DES JARDINS;6,01E+13;Subvention d'équipement;1379164.0;aide en numéraire;échelonné;07/12/2023;;non;Immobilier;Bailleur social;SA conseil d'administration
Toulouse Métropole;2,43E+13;;;SOLAGRO ASSOC;3,25E+13;Subvention de Fonctionnement;355.4;aide en numéraire;unique;18/08/2023;;non;Environnement;Bureau d'études;Association loi 1901
Toulouse Métropole;2,43E+13;;;SPECTRE;8,93E+13;Subvention d'équipement;933.33;aide en numéraire;unique;20/07/2023;;non;Recherche;Ingénierie, études techniques;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;SPOT AIR;4,95E+13;Subvention de Fonctionnement;2500.0;aide en numéraire;échelonné;28/11/2023;;non;Sport;Sport;Association loi 1901
Toulouse Métropole;2,43E+13;;;SYNDICAT INTERCO CFDT HAUTE-GARONNE ARIEGE;8,79E+13;Subvention de Fonctionnement;540.0;aide en numéraire;unique;07/12/2023;;non;Économie sociale et solidaire;Syndicat;Syndicat
Toulouse Métropole;2,43E+13;;;SYNDICAT TERRITORIAUX TOULOUSE 31;9,24E+13;Subvention de Fonctionnement;368.5;aide en numéraire;unique;07/12/2023;;non;Économie sociale et solidaire;Syndicat;Syndicat
Toulouse Métropole;2,43E+13;;;SYNDICAT UNSA TOULOUSE METROPOLE;9,01E+13;Subvention de Fonctionnement;1305.0;aide en numéraire;unique;06/12/2023;;non;Économie sociale et solidaire;Syndicat;Syndicat
Toulouse Métropole;2,43E+13;;;TILT;4,89E+13;Subvention d'équipement;600.0;aide en numéraire;unique;20/07/2023;;non;Santé;La santé relationnelle, affective et sexuelle, pour les adultes ;Association loi 1901
Toulouse Métropole;2,43E+13;;;TOULOUSE METROPOLE EAU POTABLE;2,43E+13;Subvention d'équipement;109769.35;aide en numéraire;unique;14/12/2023;;non;Administration publique;Distribution d'eau potable;Service public
Toulouse Métropole;2,43E+13;;;UDAF 31 ASSOC;7,77E+13;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;28/08/2023;;non;Services sociaux;Aide à la famille;Association loi 1901
Toulouse Métropole;2,43E+13;;;UN ENFANT DES PARRAINS;5,30E+13;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;07/11/2023;;non;Action sociale;Parrainage d'enfants;Association loi 1901
Toulouse Métropole;2,43E+13;;;UNION FRANCAISE CENTRE VACANCES LOISIRS;7,76E+13;Subvention de Fonctionnement;4131.0;aide en numéraire;unique;19/12/2023;;non;Tourisme;Organisme de vacances;Association loi 1901
Toulouse Métropole;2,43E+13;;;UNIVERS DEVEL ARTS CULTURE ENSEIGN;8,01E+13;Subvention d'équipement;10000.0;aide en numéraire;unique;01/09/2023;;non;Culture;culturelle et éducative;Association loi 1901
Toulouse Métropole;2,43E+13;;;USH HABITAT SOCIAL EN OCCITANIE;8,41E+13;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;14/12/2023;;non;Immobilier;Logement social;Association loi 1901
Toulouse Métropole;2,43E+13;;;WAGNER;8,34E+13;Subvention d'équipement;4000.0;aide en numéraire;échelonné;04/08/2023;;non;Santé;Autres activités des médecins spécialistes;Société d'exercice libéral à responsabilité limitée (SELARL)
Toulouse Métropole;2,43E+13;;;ZEN SAI;7,92E+13;Subvention d'équipement;300.0;aide en numéraire;unique;19/04/2023;;non;Restauration;Restauration traditionnelle;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;ABRACADABRA ARCHITECTURES;8,28E+13;Subvention d'équipement;796.66;aide en numéraire;unique;15/12/2023;;non;Bâtiment et travaux publics (BTP);Architecture;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;ACCUEIL ET FAMILLE ASS;7,77E+13;Subvention de Fonctionnement;47400.0;aide en numéraire;échelonné;09/11/2023;;non;immobilier;Hébergement social pour enfants en difficultés;Association loi 1901
Toulouse Métropole;2,43E+13;;;ACKTIV SERVICES;8,48E+13;Subvention d'équipement;6000.0;aide en numéraire;unique;13/03/2023;;non;Transport;Transports routiers de fret de proximité;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;ACTION EFFICIENT;8,19E+13;Subvention d'équipement;1350.0;aide en numéraire;unique;13/11/2023;;non;Conseil;Conseil pour les affaires et autres conseils de gestion;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;AEROSPACE VALLEY;4,84E+13;Subvention de Fonctionnement;200704.0;aide en numéraire;échelonné;12/12/2023;;non;Aéronautique;Pôle de compétitivité;Association loi 1901
Toulouse Métropole;2,43E+13;;;AGENCE D'INGENIERIE SOCIALE;3,79E+13;Subvention de Fonctionnement;31487.75;aide en numéraire;unique;17/04/2023;;non;Éducation;Formation continue d’adultes;Association loi 1901
Toulouse Métropole;2,43E+13;;;AGENCE NATIONALE DE L'HABITAT;1,80E+13;Subvention d'équipement;1900000.0;aide en numéraire;unique;29/11/2023;;non;immobilier;Amélioration de l'habitat;Établissement public
